col,Original,Random #1,Random #2,Random #3,Random #4,Random #5
0,-0.07639860408832995,-0.07639860408832994,-0.07639860408832995,-0.07639860408832995,-0.07639860408832995,-0.07639860408832995
1,0.13779214010038549,0.1377921401003855,0.13779214010038549,0.13779214010038549,0.13779214010038549,0.13779214010038549
2,0.011493512260127502,0.014849857960553426,-0.04855371927843465,-0.01574552143254103,-0.01737123994126245,0.02797399053763447
3,0.025332019633591694,0.0253320196335917,0.0253320196335917,0.025332019633591694,0.025332019633591694,0.02533201963359169
4,0.004200972314566479,0.004200972314566436,0.004200972314566504,0.00420097231456651,0.0042009723145665055,0.004200972314566527
5,-0.01601846848605947,-0.01601846848605948,-0.01601846848605948,-0.01601846848605948,-0.01601846848605948,-0.016018468486059468
6,-0.026612147027977873,-0.026612147027977876,-0.026612147027977873,-0.026612147027977873,-0.026612147027977876,-0.02661214702797788
7,0.10943101508689226,0.10943101508689225,0.1094310150868923,0.10943101508689228,0.10943101508689226,0.10943101508689226
8,-0.0663411417295517,-0.06634114172955173,-0.06634114172955173,-0.06634114172955173,-0.06634114172955174,-0.06634114172955173
9,-0.12792409458186363,-0.12792409458186363,-0.1279240945818636,-0.12792409458186363,-0.12792409458186363,-0.1279240945818636
10,-0.0016401448142932215,-0.0016401448142932154,-0.0016401448142932908,-0.0016401448142933125,-0.0016401448142932527,-0.0016401448142933008
11,,-0.0033563457004258347,0.06004723153856247,0.027239033692668564,0.028864752201390002,-0.016480478277506833
