col,name,mean,std
gender,Noise %0,0.0,0.0
gender,Noise %100,0.0,0.0
gender,Noise %200,0.0,0.0
gender,Noise %300,0.0,0.0
gender,Noise %400,0.0,0.0
age,Noise %0,-0.24748169284553095,2.7755575615628914e-17
age,Noise %100,-0.044791122279685604,0.03831208386055662
age,Noise %200,-0.03748104956587918,0.02766130281856063
age,Noise %300,-0.004907485214530568,0.016679219146543328
age,Noise %400,0.00161482578432635,0.010621008446832789
hypertension,Noise %0,-0.024070580461571716,3.469446951953614e-18
hypertension,Noise %100,-0.03617205582537043,0.06503001327459056
hypertension,Noise %200,-0.07947489488681694,0.02344934312292817
hypertension,Noise %300,-0.09577070397045243,0.012259091426181075
hypertension,Noise %400,-0.09205212800437193,0.00785398791043267
heart_disease,Noise %0,0.0,0.0
heart_disease,Noise %100,0.007829743449982291,0.0407481942610451
heart_disease,Noise %200,0.018524634983917036,0.012046525372285975
heart_disease,Noise %300,0.015762845467502336,0.010446452351391558
heart_disease,Noise %400,0.017102715946826958,0.0076897207780465965
ever_married,Noise %0,0.0,0.0
ever_married,Noise %100,-0.01922001319870106,0.027767837257145375
ever_married,Noise %200,-0.03423418436943133,0.015242226875446007
ever_married,Noise %300,-0.04559846289129836,0.014732242533297564
ever_married,Noise %400,-0.05704618091327487,0.011839621784223903
work_type,Noise %0,0.0054750449842338325,0.0
work_type,Noise %100,0.0,0.0
work_type,Noise %200,0.0,0.0
work_type,Noise %300,0.0,0.0
work_type,Noise %400,0.0,0.0
Residence_type,Noise %0,0.0,0.0
Residence_type,Noise %100,0.0,0.0
Residence_type,Noise %200,0.0,0.0
Residence_type,Noise %300,0.0,0.0
Residence_type,Noise %400,0.0,0.0
avg_glucose_level,Noise %0,0.04183202041220948,6.938893903907228e-18
avg_glucose_level,Noise %100,-0.01108918672560592,0.07354813475195651
avg_glucose_level,Noise %200,0.04644128645194087,0.012506356743936886
avg_glucose_level,Noise %300,0.04087233184517376,0.0046091391745619464
avg_glucose_level,Noise %400,0.03903282853166588,0.004547595665812815
bmi,Noise %0,0.00804953350850162,1.734723475976807e-18
bmi,Noise %100,-0.00631044190282414,0.013298125837631193
bmi,Noise %200,0.0029530811701695614,0.0026978353267438364
bmi,Noise %300,0.0036955026831463887,0.0021366548637691968
bmi,Noise %400,0.004212334290175942,0.0017696256796656356
smoking_status,Noise %0,0.0,0.0
smoking_status,Noise %100,0.0,0.0
smoking_status,Noise %200,-0.000950329730129443,0.004142391256676522
smoking_status,Noise %300,-0.0013820718337604224,0.004146215556684177
smoking_status,Noise %400,-0.00071219628728529,0.0031043916442414403
