col,Original,Random #1,Random #2,Random #3,Random #4,Random #5
0,0.0012311361927127974,0.009152537299380523,0.008893516797156047,0.0037874537823515534,-0.014478126175463686,0.016358522756370186
1,0.3018667088430643,0.33075007870318346,0.3033688202804439,0.2956188394288206,0.4078125229277942,0.3892868184654907
2,0.015218171069436843,0.007736082900955426,0.016774775539348336,-0.01882932909954406,0.007450312268946043,0.0025931204920829247
3,0.000931026165196231,-0.004426248333889616,0.004029963432349269,0.00537239687650973,0.011229710135702994,0.006271103735304833
4,0.017816875075043734,0.04979139514763433,0.06279881568740855,0.0640348149412524,0.006249478246379639,-0.010071513461895868
5,0.020248905644283915,0.02564519885458999,0.019435033957239757,-0.002290826679267194,0.024152920166294584,0.014193781457127488
6,-1.980791910248708,-1.464591179840044,-0.8854529401606592,-0.8226327091139073,-0.8465787218517213,-1.149518351310099
7,0.1189527104410068,0.09925335289094274,0.10358229978586342,0.13771964146679994,0.11689120515866613,0.11962414472933149
8,0.01815488542269442,-0.01260939712817959,0.011219296026978569,0.029162426178364183,0.011709482535347406,0.007029829177891634
9,-0.5920760255462955,-0.5835234983572112,-0.588786656321686,-0.588786656321686,-0.588786656321686,-0.5874910094227059
10,0.03139558030519709,-0.006719389377827668,0.005118958897815641,0.10554832105218824,0.09420697505703171,0.0019212871514734716
11,-0.1622271679839231,-0.1648854105262828,-0.15559575360873465,-0.18053543569194702,-0.15836482822687836,-0.1702692524050521
12,-0.03832434622374665,-0.017066521062308784,-0.016299955234108415,-0.015928897196898363,-0.021242829784028517,-0.00869985645325396
13,0.1273482358212362,0.1137901045853334,0.14137320153307573,0.03559625956182278,0.05251685080363274,0.16370310749881986
14,0.20432820743979055,0.21799786047347344,0.2003288400291233,0.19392791952373634,0.20206099113024145,0.2061470352320224
15,-0.007129319599499305,0.024659246400733994,0.014200141763566454,0.023833535389472495,0.003915177349143024,-0.006513558810665213
16,-2.0819504897076095,-1.459895323692325,-1.5293304489427855,-1.977129044309632,-0.9747628534474942,-0.7189338181180513
17,0.0206013826952798,0.0292538931301784,-9.758086257840616e-06,0.005573698113497538,0.022493504989345568,-0.0042813815994781745
18,0.021254957296476987,-0.0015381989616699552,0.030618547621770693,0.011899559390587112,0.02926705837931956,0.016093022282231577
19,0.017947883974898448,0.02289085984358713,0.0201254353618713,0.03376207779273702,0.029634687854920787,-0.0026959997104475564
20,0.014036628921838854,0.005646979174289484,0.007387836553691515,0.015113127305832376,0.0017543998200078579,0.017801736256928005
21,8.102167388747198,8.093535536116121,8.051073411764305,8.071198465419169,8.048134884426622,8.040074860949133
22,-0.06974731471055852,-0.0733239200927023,-0.08514235622958947,-0.09538386665757145,-0.11264190652916176,-0.06494922501050279
23,-0.13203461330753952,-0.16516398843325425,-0.13934633683889364,-0.1336767109994963,-0.1629381376000654,-0.15617317083773177
24,0.11588331460964442,0.11764299468834036,0.11649183780229984,0.09172111892694948,0.1288889012551243,0.09131659379401073
25,0.01797915411248504,0.022938334660431107,0.01782017513032526,0.025209111173197456,0.01395579954490426,0.038523581197328134
26,-1.0139552526501345,-1.009905402334404,-0.9886582206553775,-0.7439737458558263,-2.2104313476537842,-2.0225374996336143
27,0.37931719034454114,0.39669037903334914,0.375944103221742,0.387088720936452,0.4115429358787231,0.39517698571440113
28,-0.028935906013684624,-0.029854140537470746,-0.026876111865244922,-0.02297257427438486,-0.018532492517569988,-0.027961053731702115
29,-0.0005869530503617092,0.005450727706006275,-0.0019677731175121857,0.0001643851124285597,-0.011053928398901012,0.009785669724187552
30,,-1.181575851913778,-1.7760581194638745,-1.730817188974648,-0.8858070115759098,-1.0076925261550593
