col,Original,Random #1,Random #2,Random #3,Random #4,Random #5
0,-0.28687954929291487,-0.2897139133966289,-0.18994937302806886,-0.16366350296794607,-0.27317686442811184,-0.207726251469526
1,-0.21772326319979546,-0.18179657150304313,-0.2244545076800699,-0.22882777309721491,-0.2260958083316127,-0.22100190327799135
2,2.0951363742296127,0.7485909275392678,0.8420119832117798,0.6736017651313295,0.9970245531814282,0.917572705787874
3,0.08472665908859897,0.09197012365473982,0.09726629698267646,0.07402229849569661,0.08126576306169252,0.07402229849562884
4,-0.015096970083030074,-0.013453395346629496,0.0006845224230526253,0.0010082631085944161,-0.001723701656776931,0.00046231084566597487
5,-0.22379767725062732,-0.2400582220378291,-0.2233616327150071,-0.2360041374168561,-0.2174487310409733,-0.23407442046501264
6,0.027914462777606515,0.017523621665971698,0.016807412856124065,0.022136938079923042,0.01856869090965945,0.012927303572008468
7,0.0055270638044494225,0.0055270638044436545,0.005527063804446053,0.005527063804445178,0.005527063804445193,0.005527063804449187
8,0.04949422443727633,0.04140970800686736,-0.05835483236162456,-0.05003419972506899,0.04449200252961378,-0.005971451223550795
9,,1.3393019821238286,1.2531243910174816,1.4215346090976546,1.0908683564814816,1.1775636684412056
