col,name,mean,std
cement,Noise %0,0.25357791191061496,0.0
cement,Noise %100,0.05244067659371786,0.013844720561983177
cement,Noise %200,0.04966651567698516,0.005389260024486827
cement,Noise %300,0.05062637387363713,0.0025451811155635506
cement,Noise %400,0.050798383918392365,0.0017676243444503747
slag,Noise %0,0.0,0.0
slag,Noise %100,0.04777791144453017,0.011687723059483
slag,Noise %200,0.09735213575001633,0.013864238899598043
slag,Noise %300,0.10078155387064665,0.006824512094004871
slag,Noise %400,0.1012736037296367,0.004905182558401137
ash,Noise %0,0.0,0.0
ash,Noise %100,0.003600849452139881,0.005510175329747905
ash,Noise %200,0.0,0.0
ash,Noise %300,0.0,0.0
ash,Noise %400,0.0,0.0
water,Noise %0,-0.015921160515600323,0.0
water,Noise %100,-0.2041822655044551,0.020582787782528866
water,Noise %200,-0.2493346886337471,0.016074310734028333
water,Noise %300,-0.25822137168016046,0.010953300173129796
water,Noise %400,-0.26003009379365843,0.008651762034347804
superplastic,Noise %0,0.02866119693047232,3.469446951953614e-18
superplastic,Noise %100,0.02833863725782034,0.005268477463586374
superplastic,Noise %200,0.03150027462116227,0.0001061244761624212
superplastic,Noise %300,0.03148724266688053,7.316691740156216e-05
superplastic,Noise %400,0.0314851166973369,7.010426128980677e-05
coarseagg,Noise %0,0.0,0.0
coarseagg,Noise %100,0.0,0.0
coarseagg,Noise %200,0.0,0.0
coarseagg,Noise %300,0.0,0.0
coarseagg,Noise %400,0.0,0.0
fineagg,Noise %0,0.0,0.0
fineagg,Noise %100,0.0523150090737163,0.02820424975541963
fineagg,Noise %200,0.0028600098688638244,0.009095928246732728
fineagg,Noise %300,0.0006247023787320201,0.004373283577586681
fineagg,Noise %400,0.00030851894530624363,0.0030697247468909677
age,Noise %0,0.4610254999190159,0.0
age,Noise %100,0.03765273386232747,0.07754428639992296
age,Noise %200,0.001337717665360824,0.01878714802305701
age,Noise %300,-0.0002818756311546936,0.008503830785336276
age,Noise %400,-0.00025388591699919796,0.005087531426840538
