col,name,mean,std
mean radius,Noise %0,0.0,0.0
mean radius,Noise %100,0.00026401865138906625,0.0011508306206148345
mean radius,Noise %200,0.0,0.0
mean radius,Noise %300,0.0,0.0
mean radius,Noise %400,0.00013469689067660591,0.0005871301344684711
mean texture,Noise %0,-0.009618668663180922,0.0
mean texture,Noise %100,-0.01503234554360236,0.011907767655940225
mean texture,Noise %200,-0.04305816518323944,0.13332708519663797
mean texture,Noise %300,-0.0366150025756829,0.11316848762415947
mean texture,Noise %400,-0.03767910836673962,0.11281118804316977
mean perimeter,Noise %0,-0.0376913548822574,0.0
mean perimeter,Noise %100,-0.03412221922806996,0.007875615048960487
mean perimeter,Noise %200,-0.03214013740258988,0.010713383647274267
mean perimeter,Noise %300,-0.03392551737069681,0.007783053717657339
mean perimeter,Noise %400,-0.03189344688757596,0.011479990951795766
mean area,Noise %0,-0.040624504028178535,0.0
mean area,Noise %100,-0.03282380435363252,0.0076613879004754646
mean area,Noise %200,-0.030789097789777415,0.01026303259659247
mean area,Noise %300,-0.03033813819772772,0.011703121060469423
mean area,Noise %400,-0.03066975170909325,0.010627774020426905
mean smoothness,Noise %0,0.0023550588490178935,8.673617379884035e-19
mean smoothness,Noise %100,-0.007629293601912716,0.006785576589459182
mean smoothness,Noise %200,-0.00752988707536727,0.00678052591694106
mean smoothness,Noise %300,-0.008960330121495818,0.0037551268203557223
mean smoothness,Noise %400,-0.008088432725596922,0.005021687687756016
mean compactness,Noise %0,0.006673179207970054,8.673617379884035e-19
mean compactness,Noise %100,0.006663498993790993,0.0006465168815006782
mean compactness,Noise %200,0.0063965096996549,0.001098727751080486
mean compactness,Noise %300,0.006402922238741326,0.0008904187934940166
mean compactness,Noise %400,0.006290070733696883,0.0012916221537857032
mean concavity,Noise %0,-0.2194154082409582,0.0
mean concavity,Noise %100,-0.22651747722506746,0.06231819320997432
mean concavity,Noise %200,-0.2249490858035555,0.06225489370268575
mean concavity,Noise %300,-0.23394383734080107,0.055842280487375245
mean concavity,Noise %400,-0.2268326407957823,0.06190886283303599
mean concave points,Noise %0,0.008805037232367145,1.734723475976807e-18
mean concave points,Noise %100,0.00424326795725505,0.01549769853296
mean concave points,Noise %200,0.0028746708449503174,0.015026536390052043
mean concave points,Noise %300,0.002877007490004174,0.015029971637055094
mean concave points,Noise %400,-0.002136552927338413,0.025378660428919134
mean symmetry,Noise %0,0.007583234199654096,8.673617379884035e-19
mean symmetry,Noise %100,0.003350592918555015,0.018392469043395067
mean symmetry,Noise %200,0.0027253231667010115,0.018316313265484815
mean symmetry,Noise %300,0.005430600660254826,0.007436543878634608
mean symmetry,Noise %400,0.000586754716519533,0.02879989146642938
mean fractal dimension,Noise %0,-0.07133628167289233,1.3877787807814457e-17
mean fractal dimension,Noise %100,-0.06944045899321495,0.0056178956692358945
mean fractal dimension,Noise %200,-0.06698744433891023,0.008301635454757941
mean fractal dimension,Noise %300,-0.06672724791510208,0.008076651634274547
mean fractal dimension,Noise %400,-0.06672725274794043,0.008076654391845958
radius error,Noise %0,0.042374282514172225,6.938893903907228e-18
radius error,Noise %100,0.044820545340637306,0.00950846262260905
radius error,Noise %200,0.04689311651264444,0.013546714646446016
radius error,Noise %300,0.04689313573896224,0.013547952868599325
radius error,Noise %400,0.04689277835483226,0.013546946319870726
texture error,Noise %0,0.008085864525165905,1.734723475976807e-18
